,City,Province,City_ID,Median_Income($)
133,Medicine Hat ,Alberta,2021S0504805,41200
134,Okotoks ,Alberta,2021S0504820,48400
135,Red Deer ,Alberta,2021S0503830,42800
136,Strathmore ,Alberta,2021S0504826,42800
137,Sylvan Lake ,Alberta,2021S0504831,45200
138,Wetaskiwin ,Alberta,2021S0504865,38400
139,Wood Buffalo ,Alberta,2021S0504860,72000
141,Abbotsford - Mission ,British Columbia,2021S0503932,38400
142,Campbell River ,British Columbia,2021S0504944,40000
143,Chilliwack ,British Columbia,2021S0503930,39600
144,Courtenay ,British Columbia,2021S0504943,40000
145,Cranbrook ,British Columbia,2021S0504905,42000
146,Dawson Creek ,British Columbia,2021S0504975,44800
147,Duncan ,British Columbia,2021S0504937,38400
148,Fort St. John ,British Columbia,2021S0504977,52000
149,Kamloops ,British Columbia,2021S0503925,42800
150,Kelowna ,British Columbia,2021S0503915,41600
151,Ladysmith ,British Columbia,2021S0504936,38800
152,Nanaimo ,British Columbia,2021S0503938,40000
153,Nelson ,British Columbia,2021S0504907,39600
154,Parksville ,British Columbia,2021S0504939,39200
155,Penticton ,British Columbia,2021S0504913,38400
156,Port Alberni ,British Columbia,2021S0504940,36800
157,Powell River ,British Columbia,2021S0504945,36800
158,Prince George ,British Columbia,2021S0504970,45600
159,Prince Rupert ,British Columbia,2021S0504955,43600
160,Quesnel ,British Columbia,2021S0504952,37200
161,Salmon Arm ,British Columbia,2021S0504920,38400
162,Squamish ,British Columbia,2021S0504934,50400
163,Terrace ,British Columbia,2021S0504965,44400
164,Trail ,British Columbia,2021S0504910,42000
165,Vancouver ,British Columbia,2021S0503933,40800
166,Vernon ,British Columbia,2021S0504918,40000
167,Victoria ,British Columbia,2021S0503935,45600
168,Williams Lake ,British Columbia,2021S0504950,40400
170,Whitehorse ,Yukon,2021S0504990,58400
172,Yellowknife , N.W.T.,2021S0504995,72000
