,City,Province,City_ID,Population 2021,Land Area (sqKM)
80,Southern Harbour,Newfoundland and Labrador,2021A00051001267,313.0,5.39
81,Spaniard's Bay,Newfoundland and Labrador,2021A00051001396,2630.0,66.09
82,St. Bride's,Newfoundland and Labrador,2021A00051001228,318.0,5.38
83,St. John's,Newfoundland and Labrador,2021A00051001519,110525.0,446.02
84,St. Joseph's,Newfoundland and Labrador,2021A00051001192,86.0,29.22
85,St. Mary's,Newfoundland and Labrador,2021A00051001178,313.0,36.41
86,St. Shott's,Newfoundland and Labrador,2021A00051001120,55.0,1.07
87,St. Vincent's-St. Stephen's-Peter's River,Newfoundland and Labrador,2021A00051001169,263.0,86.62
88,Sunnyside,Newfoundland and Labrador,2021A00051001277,407.0,39.02
89,Torbay,Newfoundland and Labrador,2021A00051001509,7852.0,34.89
90,Trepassey,Newfoundland and Labrador,2021A00051001113,405.0,54.21
91,Upper Island Cove,Newfoundland and Labrador,2021A00051001385,1401.0,7.82
92,Victoria,Newfoundland and Labrador,2021A00051001365,1658.0,17.96
93,Wabana,Newfoundland and Labrador,2021A00051001494,1815.0,14.49
94,Whitbourne,Newfoundland and Labrador,2021A00051001298,955.0,21.51
95,Whiteway,Newfoundland and Labrador,2021A00051001308,351.0,22.53
96,Winterton,Newfoundland and Labrador,2021A00051001332,436.0,10.61
97,Witless Bay,Newfoundland and Labrador,2021A00051001559,1640.0,17.61
98,Division No.  2,Newfoundland and Labrador,2021A00031002,19392.0,5915.57
99,Baine Harbour,Newfoundland and Labrador,2021A00051002040,126.0,4.15
100,Bay L'Argent,Newfoundland and Labrador,2021A00051002027,234.0,3.74
101,Burin,Newfoundland and Labrador,2021A00051002005,2237.0,34.49
102,"Division No.  2, Subd. C",Newfoundland and Labrador,2021A00051002031,538.0,1463.65
103,"Division No.  2, Subd. D",Newfoundland and Labrador,2021A00051002022,204.0,33.17
104,"Division No.  2, Subd. E",Newfoundland and Labrador,2021A00051002001,251.0,136.58
105,"Division No.  2, Subd. F",Newfoundland and Labrador,2021A00051002006,99.0,198.89
106,"Division No.  2, Subd. G",Newfoundland and Labrador,2021A00051002009,25.0,366.98
107,"Division No.  2, Subd. H",Newfoundland and Labrador,2021A00051002016,196.0,269.35
108,"Division No.  2, Subd. I",Newfoundland and Labrador,2021A00051002026,123.0,491.98
109,"Division No.  2, Subd. J",Newfoundland and Labrador,2021A00051002029,0.0,267.48
110,"Division No.  2, Subd. K",Newfoundland and Labrador,2021A00051002048,502.0,1027.96
111,"Division No.  2, Subd. L",Newfoundland and Labrador,2021A00051002044,32.0,873.62
112,English Harbour East,Newfoundland and Labrador,2021A00051002039,117.0,2.81
113,Fortune,Newfoundland and Labrador,2021A00051002018,1285.0,54.77
114,Fox Cove-Mortier,Newfoundland and Labrador,2021A00051002025,252.0,25.39
115,Frenchman's Cove,Newfoundland and Labrador,2021A00051002017,159.0,69.07
