,ID,Fuel Type Code,City,Province,Country,ZIP,Status Code
105,83050,ELEC,Winnipeg,MB,CA,R3R 2N7,E
106,83053,ELEC,Winnipeg,MB,CA,R2J 0S7,E
107,83054,ELEC,Brandon,MB,CA,R7C 1A8,E
108,83055,ELEC,Winkler,MB,CA,R6W 4B1,E
110,83057,ELEC,Pine Falls,MB,CA,R0E 1M0,E
124,83073,ELEC,Channel-Port Aux Basques,NL,CA,A0M 1C0,E
125,83074,ELEC,Clarenville,NL,CA,A5A 1T5,E
126,83077,ELEC,Clarenville,NL,CA,A5A 2C4,E
127,83078,ELEC,St. John's,NL,CA,A1B 3R1,E
128,83079,ELEC,Gander,NL,CA,A1V 1L5,E
129,83080,ELEC,Mt. Pearl,NL,CA,A1N 3J6,E
130,83081,ELEC,Deer Lake,NL,CA,A8A 2E5,E
131,83082,ELEC,Grand Falls-Windsor,NL,CA,A2A 2K2,E
132,83083,ELEC,Grand Falls-Windsor,NL,CA,A2A 1C6,E
133,83084,ELEC,North Rustico,PE,CA,C0A 1X0,E
134,83085,ELEC,Summerside,PE,CA,C1N 1T2,E
135,83088,ELEC,Summerside,PE,CA,C1N 4N6,T
136,83089,ELEC,Charlottetown,PE,CA,C1A 4V7,E
137,83090,ELEC,Aurora,ON,CA,L4G 7B1,E
138,83092,ELEC,Summerside,PE,CA,C1N 5B1,E
139,83093,ELEC,New Glasgow,PE,CA,C0A 1N0,E
140,83094,ELEC,Summerside,PE,CA,C1N 1B1,T
141,83095,ELEC,Little Sands,PE,CA,C0A 1W0,E
142,83096,ELEC,Summerside,PE,CA,C1N 1H9,E
143,83097,ELEC,Essex,ON,CA,N8M 2C8,E
144,83098,ELEC,Cape Egmont,PE,CA,C0B 2E0,E
145,83099,ELEC,Summerside,PE,CA,C1N 4H7,E
146,83100,ELEC,Ottawa,ON,CA,K2H 5B8,E
147,83101,ELEC,Stratford,PE,CA,C1B 1T5,E
148,83102,ELEC,Cornwall,ON,CA,K6H 5R6,E
149,83103,ELEC,Rimouski,QC,CA,G5L 7C5,E
150,83105,ELEC,Summerside,PE,CA,C1N 4T8,E
151,83106,ELEC,St. Catharines,ON,CA,L2N 4G9,E
152,83107,ELEC,Kensington,PE,CA,C0B 1M0,E
153,83108,ELEC,Summerside,PE,CA,C1N 4P5,E
154,83109,ELEC,London,ON,CA,N6L 1H5,E
155,83111,ELEC,Winnipeg,MB,CA,R3N 0B9,E
156,83113,ELEC,Barrie,ON,CA,L4N 5M3,E
157,83115,ELEC,Rouyn-Noranda,QC,CA,J9X 2B2,E
