Province,City_ID,Unemployment_rate(%)
Canada,2016A000011124,8.7
Newfoundland and Labrador,2016A000210,12.5
Prince Edward Island,2016A000211,10.1
Nova Scotia,2016A000212,7.9
New Brunswick,2016A000213,9.6
Quebec,2016A000224,7.2
Ontario,2016A000235,9.4
Manitoba,2016A000246,7.6
Saskatchewan,2016A000247,7
Alberta,2016A000248,10.9
British Columbia,2016A000259,7.4
