id,city,province_id,province_name,City_Population,Median_Income,Unemployment_Rate,City_Electricity_Rate,City_EV_registrations,City_EV_stations_locations,incentives_status,EV_Per_Province,No_Certificate_perc,Secondary_HS_perc,Apprenticeship_perc,College_CEGEP_perc,Univ_diploma_Below_Bachelor_perc,Univ_diploma_Above_Bachelor_perc
1124741456,St. John's,NL,Newfoundland and Labrador,108860,36800,12.5,13.8,0,10,YES,0,23.4,25,11.3,23.1,2.4,14.8
1124521303,Moncton,NB,New Brunswick,108620,37600,9.6,12.7,0,13,YES,2112,22,28.5,9.1,21.8,1.9,16.7
1124398712,Thunder Bay,ON,Ontario,107909,41200,9.4,13,0,18,NO,144128,17.5,27.4,6,20.8,2.2,26
1124195431,Dieppe,NB,New Brunswick,107068,37600,9.6,12.7,0,9,YES,2112,22,28.5,9.1,21.8,1.9,16.7
1124001200,Delta,BC,British Columbia,102238,40800,7.4,12.6,2078,40,YES,148116,15.5,29.4,8.8,18.1,3.6,24.6
1124393373,Chatham,ON,Ontario,101647,41200,9.4,13,0,4,NO,144128,17.5,27.4,6,20.8,2.2,26
1124404130,Red Deer,AB,Alberta,100418,44800,10.9,16.6,0,10,YES,0,16.9,27.9,9.7,19.2,3,23.4
1124735582,Kamloops,BC,British Columbia,100046,40800,7.4,12.6,1202,19,YES,148116,15.5,29.4,8.8,18.1,3.6,24.6
1124737006,Brantford,ON,Ontario,97496,41200,9.4,13,816,13,NO,144128,17.5,27.4,6,20.8,2.2,26
1124000383,Cape Breton,NS,Nova Scotia,94285,38000,7.9,17.1,0,0,YES,0,19.8,25.3,9.9,21.8,2.4,20.8
1124321200,Lethbridge,AB,Alberta,92729,44800,10.9,16.6,0,6,YES,0,16.9,27.9,9.7,19.2,3,23.4
1124278447,Saint-Jean-sur-Richelieu,QC,Quebec,92394,40800,7.2,7.3,0,7,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
1124000882,Clarington,ON,Ontario,92013,41200,9.4,13,367,0,NO,144128,17.5,27.4,6,20.8,2.2,26
1124781814,Pickering,ON,Ontario,91771,41200,9.4,13,509,3,NO,144128,17.5,27.4,6,20.8,2.2,26
1124623893,Nanaimo,BC,British Columbia,90504,40800,7.4,12.6,2385,20,YES,148116,15.5,29.4,8.8,18.1,3.6,24.6
1124539524,Sudbury,ON,Ontario,88054,41200,9.4,13,4,11,NO,144128,17.5,27.4,6,20.8,2.2,26
1124000146,North Vancouver,BC,British Columbia,85935,40800,7.4,12.6,3329,51,YES,148116,15.5,29.4,8.8,18.1,3.6,24.6
1124655166,Brossard,QC,Quebec,85721,40800,7.2,7.3,0,24,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
1124379778,Repentigny,QC,Quebec,84965,40800,7.2,7.3,0,23,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
1124400266,Newmarket,ON,Ontario,84224,41200,9.4,13,683,26,NO,144128,17.5,27.4,6,20.8,2.2,26
1124531262,Chilliwack,BC,British Columbia,83788,40800,7.4,12.6,2144,12,YES,148116,15.5,29.4,8.8,18.1,3.6,24.6
1124260555,White Rock,BC,British Columbia,82368,40800,7.4,12.6,421,7,YES,148116,15.5,29.4,8.8,18.1,3.6,24.6
1124001699,Maple Ridge,BC,British Columbia,82256,40800,7.4,12.6,1514,9,YES,148116,15.5,29.4,8.8,18.1,3.6,24.6
1124440356,Peterborough,ON,Ontario,82094,41200,9.4,13,612,20,NO,144128,17.5,27.4,6,20.8,2.2,26
1124000852,Kawartha Lakes,ON,Ontario,75423,41200,9.4,13,322,0,NO,144128,17.5,27.4,6,20.8,2.2,26
1124733292,Prince George,BC,British Columbia,74003,40800,7.4,12.6,357,13,YES,148116,15.5,29.4,8.8,18.1,3.6,24.6
1124810690,Sault Ste. Marie,ON,Ontario,73368,41200,9.4,13,0,6,NO,144128,17.5,27.4,6,20.8,2.2,26
1124509835,Sarnia,ON,Ontario,71594,41200,9.4,13,310,8,NO,144128,17.5,27.4,6,20.8,2.2,26
1124001123,Wood Buffalo,AB,Alberta,71589,44800,10.9,16.6,0,0,YES,0,16.9,27.9,9.7,19.2,3,23.4
1124196524,New Westminster,BC,British Columbia,70996,40800,7.4,12.6,1060,13,YES,148116,15.5,29.4,8.8,18.1,3.6,24.6
1124437897,Chateauguay,QC,Quebec,70812,40800,7.2,7.3,0,10,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
1124268324,Saint-Jérôme,QC,Quebec,69598,40800,7.2,7.3,0,10,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
1124624283,Drummondville,QC,Quebec,68601,40800,7.2,7.3,1621,23,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
1124631364,Saint John,NB,New Brunswick,67575,37600,9.6,12.7,0,13,YES,2112,22,28.5,9.1,21.8,1.9,16.7
1124070007,Caledon,ON,Ontario,66502,41200,9.4,13,621,6,NO,144128,17.5,27.4,6,20.8,2.2,26
1124850754,St. Albert,AB,Alberta,65589,44800,10.9,16.6,0,3,YES,0,16.9,27.9,9.7,19.2,3,23.4
1124502071,Granby,QC,Quebec,63433,40800,7.2,7.3,1769,24,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
1124303972,Medicine Hat,AB,Alberta,63260,44800,10.9,16.6,0,9,YES,0,16.9,27.9,9.7,19.2,3,23.4
1124505481,Grande Prairie,AB,Alberta,63166,44800,10.9,16.6,0,5,YES,0,16.9,27.9,9.7,19.2,3,23.4
1124790209,St. Thomas,ON,Ontario,61707,41200,9.4,13,114,5,NO,144128,17.5,27.4,6,20.8,2.2,26
1124990202,Airdrie,AB,Alberta,61581,44800,10.9,16.6,0,6,YES,0,16.9,27.9,9.7,19.2,3,23.4
1124000788,Halton Hills,ON,Ontario,61161,41200,9.4,13,446,6,NO,144128,17.5,27.4,6,20.8,2.2,26
1124010116,Saint-Hyacinthe,QC,Quebec,59614,40800,7.2,7.3,1803,20,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
1124000579,Lac-Brome,QC,Quebec,58889,40800,7.2,7.3,0,1,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
1124473757,Port Coquitlam,BC,British Columbia,58612,40800,7.4,12.6,1124,7,YES,148116,15.5,29.4,8.8,18.1,3.6,24.6
1124061289,Fredericton,NB,New Brunswick,58220,37600,9.6,12.7,0,14,YES,2112,22,28.5,9.1,21.8,1.9,16.7
1124000623,Blainville,QC,Quebec,56363,40800,7.2,7.3,0,12,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
1124085034,Aurora,ON,Ontario,55445,41200,9.4,13,616,18,NO,144128,17.5,27.4,6,20.8,2.2,26
1124745616,Welland,ON,Ontario,52293,41200,9.4,13,149,8,NO,144128,17.5,27.4,6,20.8,2.2,26
1124058496,North Bay,ON,Ontario,51553,41200,9.4,13,264,11,NO,144128,17.5,27.4,6,20.8,2.2,26
1124469084,Beloeil,QC,Quebec,50796,40800,7.2,7.3,0,15,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
1124786959,Belleville,ON,Ontario,50716,41200,9.4,13,408,7,NO,144128,17.5,27.4,6,20.8,2.2,26
1124182375,Mirabel,QC,Quebec,50513,40800,7.2,7.3,0,16,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
1124441118,Shawinigan,QC,Quebec,50060,40800,7.2,7.3,653,24,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
1124902278,Dollard-des-Ormeaux,QC,Quebec,49637,40800,7.2,7.3,0,1,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
1124239939,Brandon,MB,Manitoba,48859,39200,7.6,9.9,0,6,YES,3290,22,29.6,7.7,17.7,2.9,20.1
1124433645,Rimouski,QC,Quebec,48664,40800,7.2,7.3,769,33,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
1124938303,Cornwall,ON,Ontario,46589,41200,9.4,13,196,12,NO,144128,17.5,27.4,6,20.8,2.2,26
1124207594,Stouffville,ON,Ontario,45837,41200,9.4,13,0,0,NO,144128,17.5,27.4,6,20.8,2.2,26
1124000048,Georgina,ON,Ontario,45418,41200,9.4,13,194,2,NO,144128,17.5,27.4,6,20.8,2.2,26
1124149787,Victoriaville,QC,Quebec,45309,40800,7.2,7.3,803,15,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
1124553338,Vernon,BC,British Columbia,44600,40800,7.4,12.6,737,11,YES,148116,15.5,29.4,8.8,18.1,3.6,24.6
1124316061,Duncan,BC,British Columbia,44451,40800,7.4,12.6,550,9,YES,148116,15.5,29.4,8.8,18.1,3.6,24.6
1124758162,Saint-Eustache,QC,Quebec,44154,40800,7.2,7.3,0,9,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
1124001037,Quinte West,ON,Ontario,43577,41200,9.4,13,137,0,NO,144128,17.5,27.4,6,20.8,2.2,26
1124897699,Charlottetown,PE,Prince Edward Island,42602,38800,10.1,17.4,0,16,YES,650,19.2,27.2,8.1,23.8,2.6,19.1
1124001580,Mascouche,QC,Quebec,42491,40800,7.2,7.3,0,12,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
1124001824,West Vancouver,BC,British Columbia,42473,40800,7.4,12.6,1605,12,YES,148116,15.5,29.4,8.8,18.1,3.6,24.6
1124638758,Salaberry-de-Valleyfield,QC,Quebec,42410,40800,7.2,7.3,0,19,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
1124267752,Rouyn-Noranda,QC,Quebec,42334,40800,7.2,7.3,0,31,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
1124760634,Timmins,ON,Ontario,41788,41200,9.4,13,78,6,NO,144128,17.5,27.4,6,20.8,2.2,26
1124000182,Sorel-Tracy,QC,Quebec,41629,40800,7.2,7.3,648,15,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
1124001571,New Tecumseth,ON,Ontario,41439,41200,9.4,13,195,0,NO,144128,17.5,27.4,6,20.8,2.2,26
