,City,Province,City_ID,Population 2021,Land Area (sqKM),Median_Income($),Unemployment_rate(%),Vehicles_sold_since_2017,Number_of_stations
128,Aquadeo,Saskatchewan,2021A00054717005,203.0,0.7,42400.0,7.0,0.0,0.0
129,Arborfield,Saskatchewan,2021A00054714062,285.0,0.87,42400.0,7.0,0.0,0.0
130,Arborfield No. 456,Saskatchewan,2021A00054714059,338.0,1403.77,42400.0,7.0,0.0,0.0
131,Arborg,Manitoba,2021A00054618074,1279.0,2.22,39200.0,7.6,1.0,0.0
132,Archerwill,Saskatchewan,2021A00054714036,153.0,0.82,42400.0,7.0,0.0,0.0
133,Arcola,Saskatchewan,2021A00054701059,636.0,3.46,42400.0,7.0,0.0,0.0
134,Argyle,Manitoba,2021A00054604057,994.0,768.63,39200.0,7.6,1.0,0.0
135,Argyle No. 1,Saskatchewan,2021A00054701001,331.0,567.05,42400.0,7.0,0.0,0.0
136,Arlington No. 79,Saskatchewan,2021A00054704038,359.0,841.62,42400.0,7.0,0.0,0.0
137,Arm River No. 252,Saskatchewan,2021A00054711011,258.0,721.58,42400.0,7.0,0.0,0.0
138,Armour,Ontario,2021A00053549019,1459.0,163.52,41200.0,9.4,20.0,0.0
139,Armstrong,Ontario,2021A00053554036,1199.0,90.16,41200.0,9.4,20.0,0.0
140,Arnprior,Ontario,2021A00053547002,9629.0,13.04,41200.0,9.4,94.0,2.0
143,Arran,Saskatchewan,2021A00054709076,20.0,0.72,42400.0,7.0,0.0,0.0
144,Arran-Elderslie,Ontario,2021A00053541043,6913.0,458.76,41200.0,9.4,35.0,0.0
145,Ashcroft,British Columbia,2021A00055933019,1670.0,50.86,40800.0,7.4,0.0,1.0
146,Ashcroft 4,British Columbia,2021A00055933844,42.0,1.4,40800.0,7.4,0.0,0.0
147,Ashfield-Colborne-Wawanosh,Ontario,2021A00053540063,5884.0,586.88,41200.0,9.4,25.0,0.0
148,Ashnola 10,British Columbia,2021A00055907809,58.0,35.91,40800.0,7.4,0.0,0.0
149,Asphodel-Norwood,Ontario,2021A00053515003,4658.0,161.62,41200.0,9.4,12.0,0.0
150,Asquith,Saskatchewan,2021A00054712059,624.0,1.37,42400.0,7.0,0.0,0.0
151,Assiginack,Ontario,2021A00053551011,1008.0,224.89,41200.0,9.4,1.0,0.0
152,Assiniboia,Saskatchewan,2021A00054703036,2333.0,3.68,42400.0,7.0,2.0,1.0
153,Assiniboine 76,Saskatchewan,2021A00054706810,703.0,158.11,42400.0,7.0,0.0,0.0
154,Athens,Ontario,2021A00053507042,3042.0,129.54,41200.0,9.4,6.0,0.0
155,Atikokan,Ontario,2021A00053559001,2642.0,313.64,41200.0,9.4,1.0,3.0
158,Attawapiskat 91A,Ontario,2021A00053560051,1586.0,1.75,41200.0,9.4,1.0,0.0
159,Atwater,Saskatchewan,2021A00054705053,27.0,1.84,42400.0,7.0,0.0,0.0
160,Augusta,Ontario,2021A00053507006,7386.0,313.77,41200.0,9.4,25.0,0.0
161,Aurora,Ontario,2021A00053519046,62057.0,50.0,41200.0,9.4,616.0,18.0
179,Auvergne No. 76,Saskatchewan,2021A00054703054,381.0,846.86,42400.0,7.0,0.0,0.0
180,Avonlea,Saskatchewan,2021A00054702062,411.0,1.3,42400.0,7.0,0.0,0.0
181,Aylesbury,Saskatchewan,2021A00054707093,67.0,1.31,42400.0,7.0,0.0,0.0
182,Aylmer,Ontario,2021A00053534011,7699.0,6.37,41200.0,9.4,14.0,0.0
183,Aylsham,Saskatchewan,2021A00054714073,82.0,0.53,42400.0,7.0,1.0,0.0
184,B-Say-Tah,Saskatchewan,2021A00054706052,177.0,1.02,42400.0,7.0,0.0,0.0
186,Babine 17,British Columbia,2021A00055949819,87.0,1.14,40800.0,7.4,2.0,0.0
187,Babine 25,British Columbia,2021A00055951829,83.0,0.48,40800.0,7.4,0.0,0.0
188,Babine Lake 21B,British Columbia,2021A00055951847,0.0,0.02,40800.0,7.4,0.0,0.0
189,Baezaeko River 27,British Columbia,2021A00055941881,0.0,0.22,40800.0,7.4,0.0,0.0
190,Baie-Comeau,Quebec,2021A00052496020,20687.0,334.83,40800.0,7.2,166.0,9.0
199,Baildon No. 131,Saskatchewan,2021A00054707001,583.0,829.56,42400.0,7.0,0.0,0.0
200,Balcarres,Saskatchewan,2021A00054706047,616.0,1.62,42400.0,7.0,0.0,0.0
201,Baldwin,Ontario,2021A00053552028,579.0,82.49,41200.0,9.4,0.0,0.0
202,Balgonie,Saskatchewan,2021A00054706032,1756.0,4.76,42400.0,7.0,0.0,0.0
203,Bancroft,Ontario,2021A00053512061,4065.0,227.54,41200.0,9.4,3.0,3.0
206,Bangor,Saskatchewan,2021A00054705054,40.0,1.57,42400.0,7.0,0.0,0.0
207,Baptiste Meadow 2,British Columbia,2021A00055941849,0.0,2.06,40800.0,7.4,0.0,0.0
209,Barrie,Ontario,2021A00053543042,147829.0,99.01,41200.0,9.4,1481.0,27.0
237,Barrier Valley No. 397,Saskatchewan,2021A00054714034,485.0,817.93,42400.0,7.0,0.0,0.0
238,Barriere,British Columbia,2021A00055933074,1765.0,10.73,40800.0,7.4,6.0,0.0
240,Battle River No. 438,Saskatchewan,2021A00054712078,1029.0,1056.77,42400.0,7.0,0.0,0.0
241,Battleford,Saskatchewan,2021A00054712079,4400.0,23.26,42400.0,7.0,1.0,0.0
242,Bayham,Ontario,2021A00053534005,7096.0,244.6,41200.0,9.4,13.0,0.0
243,Bayne No. 371,Saskatchewan,2021A00054715011,461.0,788.95,42400.0,7.0,0.0,0.0
244,Bear Island 1,Ontario,2021A00053548072,244.0,2.88,41200.0,9.4,0.0,0.0
245,Beardy's 97 and Okemasis 96,Saskatchewan,2021A00054715845,1249.0,108.88,42400.0,7.0,0.0,0.0
246,Beardy's and Okemasis 96 and 97A,Saskatchewan,2021A00054710828,0.0,44.86,42400.0,7.0,0.0,0.0
247,Beardy's and Okemasis 96 and 97B,Saskatchewan,2021A00054715859,32.0,9.63,42400.0,7.0,0.0,0.0
248,Bearskin Lake,Ontario,2021A00053560095,447.0,144.93,41200.0,9.4,0.0,0.0
